frame_id,timestamp,action,confidence,depth_left_mean,depth_center_mean,depth_right_mean,depth_overall_max,closest_col,closest_row
0,1776579712.5094185,move_forward,0.23601485788822174,0.19851204752922058,0.14608800411224365,0.5841770172119141,1.0,319,223
1,1776579712.8479233,move_forward,0.2349672168493271,0.2520478069782257,0.1684601604938507,0.5837324261665344,1.0,319,223
2,1776579713.2416403,move_forward,0.2322067767381668,0.2565382719039917,0.17438004910945892,0.5579744577407837,1.0,319,225
3,1776579714.1185672,move_forward,0.22912830114364624,0.26940345764160156,0.18325325846672058,0.5843237042427063,1.0,319,224
4,1776579714.5993674,move_forward,0.2259770929813385,0.23496240377426147,0.14316323399543762,0.5552634596824646,1.0,319,225
5,1776579714.893307,move_forward,0.2261180728673935,0.23748955130577087,0.13693667948246002,0.5487345457077026,1.0,319,225
6,1776579715.3201978,move_forward,0.22843752801418304,0.20742617547512054,0.12821753323078156,0.5397084355354309,1.0,319,234
7,1776579716.0666785,move_forward,0.22818981111049652,0.20420633256435394,0.14866170287132263,0.5615969896316528,1.0,319,234
8,1776579716.4739044,move_forward,0.22807922959327698,0.20202668011188507,0.16720162332057953,0.5724102854728699,1.0,319,234
9,1776579716.8423588,move_forward,0.22821488976478577,0.20537525415420532,0.1468542218208313,0.5610360503196716,1.0,319,213
10,1776579717.0363743,move_forward,0.2268088310956955,0.2062326818704605,0.16676482558250427,0.5555295348167419,1.0,319,214
11,1776579717.2849488,move_forward,0.22670672833919525,0.22408178448677063,0.21076996624469757,0.5804978609085083,1.0,319,215
12,1776579717.5788321,move_forward,0.22289274632930756,0.19555820524692535,0.16944192349910736,0.56330406665802,1.0,319,215
13,1776579717.837825,move_forward,0.2250441014766693,0.19977936148643494,0.18510428071022034,0.5556555986404419,1.0,319,216
14,1776579717.9900603,move_forward,0.22644172608852386,0.20401112735271454,0.18892532587051392,0.5542221069335938,1.0,319,234
15,1776579718.1508012,move_forward,0.22823689877986908,0.2060890942811966,0.19951698184013367,0.5504530668258667,1.0,319,221
16,1776579718.3896065,move_forward,0.22823156416416168,0.21374951303005219,0.190549835562706,0.5366175770759583,1.0,319,234
17,1776579718.5686858,move_forward,0.22676301002502441,0.20035873353481293,0.16228485107421875,0.5222881436347961,1.0,319,234
18,1776579718.7854488,move_forward,0.22610722482204437,0.20796044170856476,0.1542130708694458,0.5284519195556641,1.0,319,234
