frame_id,timestamp,action,confidence,depth_left_mean,depth_center_mean,depth_right_mean,depth_overall_max,closest_col,closest_row
0,1776628300.1256852,move_forward,0.24394898116588593,0.4818912446498871,0.23062342405319214,0.176329106092453,1.0,343,1462
1,1776628300.8701696,move_forward,0.2362765371799469,0.4511708915233612,0.22614747285842896,0.154358372092247,1.0,580,1026
2,1776628301.3289304,move_forward,0.22992488741874695,0.4522867202758789,0.22392724454402924,0.15104544162750244,1.0,417,1330
3,1776628301.9883497,move_forward,0.23052455484867096,0.45293712615966797,0.22248171269893646,0.1472775787115097,1.0,403,1381
4,1776628302.936024,move_forward,0.2289910763502121,0.4464742839336395,0.2356564849615097,0.16690126061439514,1.0,403,1398
5,1776628303.9178557,move_forward,0.23037618398666382,0.4702867269515991,0.24344244599342346,0.1784353405237198,1.0,403,1385
6,1776628304.3723419,move_forward,0.22830279171466827,0.4453710615634918,0.22510600090026855,0.1540745496749878,1.0,403,1366
7,1776628305.6503792,move_forward,0.22413484752178192,0.44507545232772827,0.230579674243927,0.164216548204422,1.0,582,1128
8,1776628306.221612,move_forward,0.2209867388010025,0.44105279445648193,0.22738724946975708,0.15631823241710663,1.0,402,1366
9,1776628306.6717951,move_forward,0.22061605751514435,0.44753026962280273,0.21417267620563507,0.13910861313343048,1.0,402,1364
10,1776628307.8863132,move_left,0.22039997577667236,0.44572731852531433,0.20999525487422943,0.13967680931091309,1.0,388,1382
11,1776628308.3207736,move_left,0.2256145030260086,0.45698145031929016,0.22596445679664612,0.1427103579044342,1.0,388,1366
12,1776628308.748909,move_left,0.22744035720825195,0.45043766498565674,0.2307000607252121,0.15319578349590302,1.0,581,1160
13,1776628309.1708345,move_left,0.22995829582214355,0.44423073530197144,0.22407090663909912,0.15036703646183014,1.0,583,1162
14,1776628309.8216002,move_left,0.2290714830160141,0.44599077105522156,0.2540302276611328,0.1777854561805725,1.0,596,1160
15,1776628310.9555018,move_forward,0.2295544147491455,0.4555330276489258,0.2568564713001251,0.17550736665725708,1.0,614,1145
16,1776628311.3727922,move_left,0.22788001596927643,0.4535596966743469,0.2573038637638092,0.17074498534202576,1.0,509,1399
17,1776628311.8629594,move_forward,0.22876176238059998,0.46066179871559143,0.26223939657211304,0.17637760937213898,1.0,463,1518
18,1776628312.38365,move_forward,0.22851349413394928,0.44848212599754333,0.2766854166984558,0.18214933574199677,1.0,463,1530
19,1776628312.8444834,move_forward,0.2319648563861847,0.43095654249191284,0.2564232349395752,0.1756771206855774,1.0,685,1127
20,1776628313.276721,move_forward,0.23141276836395264,0.4255322515964508,0.26169613003730774,0.16959068179130554,1.0,686,1127
21,1776628313.8914824,move_forward,0.23163767158985138,0.42803406715393066,0.24068701267242432,0.16888698935508728,1.0,522,1514
22,1776628315.0237765,move_forward,0.22760210931301117,0.43055179715156555,0.2514524459838867,0.17340892553329468,1.0,552,1485
23,1776628315.4766538,move_forward,0.23197339475154877,0.42077910900115967,0.25632596015930176,0.1653337925672531,1.0,658,1246
24,1776628315.9254062,move_forward,0.2354850322008133,0.4348617494106293,0.2737601697444916,0.17176900804042816,1.0,612,1415
25,1776628316.3754227,move_forward,0.23675453662872314,0.4432174861431122,0.2844078838825226,0.17992103099822998,1.0,627,1396
26,1776628316.8546116,move_forward,0.23946772515773773,0.4640730917453766,0.2967483699321747,0.19851110875606537,1.0,642,1378
27,1776628317.3667011,move_forward,0.24072296917438507,0.4501081705093384,0.2851398289203644,0.16437174379825592,1.0,642,1378
28,1776628317.8470712,move_forward,0.24476301670074463,0.4775504469871521,0.29494476318359375,0.19385866820812225,1.0,657,1350
29,1776628318.2775724,move_forward,0.24581393599510193,0.46803686022758484,0.2850847840309143,0.18934476375579834,1.0,702,1177
30,1776628318.763559,move_forward,0.2445795238018036,0.4805789887905121,0.27586597204208374,0.17541854083538055,1.0,657,1334
31,1776628320.009745,move_forward,0.24330809712409973,0.44333457946777344,0.26237523555755615,0.16112922132015228,1.0,657,1332
32,1776628320.4725835,move_forward,0.24441923201084137,0.43962961435317993,0.25112560391426086,0.15523074567317963,1.0,642,1364
33,1776628320.9277945,move_forward,0.2409794181585312,0.4408990442752838,0.2606734335422516,0.16407905519008636,1.0,657,1330
34,1776628321.3875954,move_forward,0.2410537302494049,0.4564756453037262,0.27322304248809814,0.17109978199005127,1.0,658,1332
35,1776628321.966715,move_forward,0.24009326100349426,0.4746447503566742,0.2901356816291809,0.18153820931911469,1.0,657,1361
36,1776628322.5356715,move_forward,0.23712988197803497,0.47656702995300293,0.27907490730285645,0.16891105473041534,1.0,658,1365
37,1776628322.9607668,move_forward,0.2334771454334259,0.4747408926486969,0.2631567418575287,0.17033608257770538,1.0,657,1382
38,1776628323.3654294,move_forward,0.23142533004283905,0.45271652936935425,0.2674707770347595,0.1635868400335312,1.0,657,1395
39,1776628323.969885,move_forward,0.22894497215747833,0.44187018275260925,0.2554536461830139,0.15395981073379517,1.0,657,1415
